
============================================================
STAGE 1 TCN FORECASTER | 2026-05-13 18:07:29
Window: 6 | Epoch: 250 | Batch: 4
============================================================
Epoch  138/250 | MSE: 0.0412998 | LR: 1.00e-03
Epoch  139/250 | MSE: 0.0403203 | LR: 1.00e-03
Epoch  140/250 | MSE: 0.0251350 | LR: 1.00e-03
Epoch  141/250 | MSE: 0.0590684 | LR: 1.00e-03
Epoch  142/250 | MSE: 0.0337275 | LR: 1.00e-03
Epoch  143/250 | MSE: 0.0398147 | LR: 1.00e-03
Epoch  144/250 | MSE: 0.0524192 | LR: 1.00e-03
Epoch  145/250 | MSE: 0.0335545 | LR: 1.00e-03
Epoch  146/250 | MSE: 0.0558820 | LR: 1.00e-03
Epoch  147/250 | MSE: 0.0331126 | LR: 1.00e-03
Epoch  148/250 | MSE: 0.0357718 | LR: 1.00e-03
Epoch  149/250 | MSE: 0.0495027 | LR: 1.00e-03
Epoch  150/250 | MSE: 0.0425498 | LR: 1.00e-03
   → Checkpoint: checkpoints_stage1\checkpoint_epoch_150.pth
Epoch  151/250 | MSE: 0.0416275 | LR: 1.00e-03
Epoch  152/250 | MSE: 0.0468669 | LR: 1.00e-03
Epoch  153/250 | MSE: 0.0524312 | LR: 1.00e-03
Epoch  154/250 | MSE: 0.0499821 | LR: 1.00e-03
Epoch  155/250 | MSE: 0.0403077 | LR: 1.00e-03
Epoch  156/250 | MSE: 0.0329187 | LR: 1.00e-03
Epoch  157/250 | MSE: 0.0363519 | LR: 1.00e-03
Epoch  158/250 | MSE: 0.0415672 | LR: 1.00e-03
Epoch  159/250 | MSE: 0.0341471 | LR: 1.00e-03
Epoch  160/250 | MSE: 0.0355982 | LR: 1.00e-03
Epoch  161/250 | MSE: 0.0312792 | LR: 1.00e-03
Epoch  162/250 | MSE: 0.0319656 | LR: 1.00e-03
Epoch  163/250 | MSE: 0.0378070 | LR: 1.00e-03
Epoch  164/250 | MSE: 0.0280496 | LR: 1.00e-03
Epoch  165/250 | MSE: 0.0427394 | LR: 1.00e-03
Epoch  166/250 | MSE: 0.0331252 | LR: 1.00e-03
Epoch  167/250 | MSE: 0.0304526 | LR: 1.00e-03
Epoch  168/250 | MSE: 0.0383814 | LR: 1.00e-03
Epoch  169/250 | MSE: 0.0368331 | LR: 1.00e-03
Epoch  170/250 | MSE: 0.0484985 | LR: 1.00e-03
Epoch  171/250 | MSE: 0.0396656 | LR: 5.00e-04
Epoch  172/250 | MSE: 0.0342160 | LR: 5.00e-04
Epoch  173/250 | MSE: 0.0447785 | LR: 5.00e-04
Epoch  174/250 | MSE: 0.0258129 | LR: 5.00e-04
Epoch  175/250 | MSE: 0.0302354 | LR: 5.00e-04
Epoch  176/250 | MSE: 0.0313120 | LR: 5.00e-04
Epoch  177/250 | MSE: 0.0339533 | LR: 5.00e-04
Epoch  178/250 | MSE: 0.0429837 | LR: 5.00e-04
Epoch  179/250 | MSE: 0.0251203 | LR: 5.00e-04
Epoch  180/250 | MSE: 0.0335826 | LR: 5.00e-04
Epoch  181/250 | MSE: 0.0262079 | LR: 5.00e-04
Epoch  182/250 | MSE: 0.0375460 | LR: 5.00e-04
Epoch  183/250 | MSE: 0.0262721 | LR: 5.00e-04
Epoch  184/250 | MSE: 0.0344271 | LR: 5.00e-04
Epoch  185/250 | MSE: 0.0310328 | LR: 5.00e-04
Epoch  186/250 | MSE: 0.0307459 | LR: 5.00e-04
Epoch  187/250 | MSE: 0.0267798 | LR: 5.00e-04
Epoch  188/250 | MSE: 0.0286891 | LR: 5.00e-04
Epoch  189/250 | MSE: 0.0345681 | LR: 5.00e-04
Epoch  190/250 | MSE: 0.0234552 | LR: 5.00e-04
Epoch  191/250 | MSE: 0.0273246 | LR: 5.00e-04
Epoch  192/250 | MSE: 0.0341522 | LR: 5.00e-04
Epoch  193/250 | MSE: 0.0225655 | LR: 5.00e-04
Epoch  194/250 | MSE: 0.0374776 | LR: 5.00e-04
Epoch  195/250 | MSE: 0.0355897 | LR: 5.00e-04
Epoch  196/250 | MSE: 0.0323893 | LR: 5.00e-04
Epoch  197/250 | MSE: 0.0414112 | LR: 5.00e-04
Epoch  198/250 | MSE: 0.0235114 | LR: 5.00e-04
Epoch  199/250 | MSE: 0.0269423 | LR: 5.00e-04
Epoch  200/250 | MSE: 0.0395896 | LR: 5.00e-04
   → Checkpoint: checkpoints_stage1\checkpoint_epoch_200.pth
Epoch  201/250 | MSE: 0.0423550 | LR: 5.00e-04
Epoch  202/250 | MSE: 0.0291101 | LR: 5.00e-04
Epoch  203/250 | MSE: 0.0378202 | LR: 5.00e-04
